date,station,lat,lon,sst,anom,err,sst_roll_7d,sst_roll_14d,sst_roll_30d,sst_roll_90d,anom_roll_7d,anom_roll_14d,anom_roll_30d,sst_roc_3d,warm_degree_days_14d,above_avg
2017-01-04,Bodega Marine Lab,38.375,236.875,10.699999809265137,-1.5199999809265137,0.22999998927116394,10.432499885559082,10.432499885559082,10.432499885559082,10.432499885559082,-1.8049999475479126,-1.8049999475479126,-1.8049999475479126,0.1600001653035482,0.0,0
2017-01-05,Bodega Marine Lab,38.375,236.875,10.59999942779541,-1.5999999046325684,0.17999999225139618,10.465999794006347,10.465999794006347,10.465999794006347,10.465999794006347,-1.7639999389648438,-1.7639999389648438,-1.7639999389648438,0.09999974568684895,0.0,0
2017-01-06,Bodega Marine Lab,38.375,236.875,10.6899995803833,-1.5,0.19999998807907104,10.50333309173584,10.50333309173584,10.50333309173584,10.50333309173584,-1.7199999491373699,-1.7199999491373699,-1.7199999491373699,0.05999978383382162,0.0,0
2017-01-07,Bodega Marine Lab,38.375,236.875,10.819999694824219,-1.350000023841858,0.28999999165534973,10.548571177891322,10.548571177891322,10.548571177891322,10.548571177891322,-1.6671428169522966,-1.6671428169522966,-1.6671428169522966,0.039999961853027344,0.0,0
2017-01-08,Bodega Marine Lab,38.375,236.875,11.119999885559082,-1.0399999618530273,0.28999999165534973,10.677142688206263,10.619999766349792,10.619999766349792,10.619999766349792,-1.5242856740951538,-1.588749960064888,-1.588749960064888,0.17333348592122397,0.0,0
2017-01-09,Bodega Marine Lab,38.375,236.875,11.569999694824219,-0.5699999928474426,0.2800000011920929,10.858571188790458,10.725555313958061,10.725555313958061,10.725555313958061,-1.3285713962146215,-1.4755555192629497,-1.4755555192629497,0.29333337148030597,0.0,0
2017-01-10,Bodega Marine Lab,38.375,236.875,12.0,-0.12999999523162842,0.28999999165534973,11.071428298950195,10.852999782562256,10.852999782562256,10.852999782562256,-1.101428551333291,-1.3409999668598176,-1.3409999668598176,0.39333343505859375,0.0,0
2017-01-11,Bodega Marine Lab,38.375,236.875,11.529999732971191,-0.5899999737739563,0.22999998927116394,11.18999971662249,10.914545232599432,10.914545232599432,10.914545232599432,-0.9685714074543544,-1.2727272402156482,-1.2727272402156482,0.13666661580403647,0.0,0
2017-01-12,Bodega Marine Lab,38.375,236.875,11.5,-0.6100000143051147,0.20999999344348907,11.318571226937431,10.963333129882812,10.963333129882812,10.963333129882812,-0.8271428516932896,-1.2174999713897705,-1.2174999713897705,-0.023333231608072918,0.0,0
2017-01-13,Bodega Marine Lab,38.375,236.875,10.929999351501465,-1.159999966621399,0.17000000178813934,11.35285690852574,10.960768993084248,10.960768993084248,10.960768993084248,-0.7785714183534894,-1.2130768940998957,-1.2130768940998957,-0.35666688283284503,0.0,0
2017-01-14,Bodega Marine Lab,38.375,236.875,10.65999984741211,-1.4199999570846558,0.20999999344348907,11.329999787466866,10.939285482679095,10.939285482679095,10.939285482679095,-0.7885714088167463,-1.2278571128845215,-1.2278571128845215,-0.28999996185302734,0.0,0
2017-01-15,Bodega Marine Lab,38.375,236.875,10.779999732971191,-1.2799999713897705,0.19999998807907104,11.281428337097168,10.979285512651716,10.928666432698568,10.928666432698568,-0.8228571244648525,-1.1735713992800032,-1.2313333034515381,-0.24000008900960287,0.0,0
2017-01-16,Bodega Marine Lab,38.375,236.875,10.859999656677246,-1.1899999380111694,0.17000000178813934,11.17999976021903,11.019285474504743,10.924374759197235,10.924374759197235,-0.9114285452025277,-1.1199999707085746,-1.228749968111515,-0.023333231608072918,0.0,0
2017-01-17,Bodega Marine Lab,38.375,236.875,10.819999694824219,-1.2200000286102295,0.2800000011920929,11.01142828805106,11.041428293500628,10.918235049528235,10.918235049528235,-1.067142835685185,-1.0842856935092382,-1.22823526578791,0.053333282470703125,0.0,0
2017-01-18,Bodega Marine Lab,38.375,236.875,11.029999732971191,-1.0099999904632568,0.28999999165534973,10.93999971662249,11.06499971662249,10.924444198608398,10.924444198608398,-1.1271428380693709,-1.0478571227618627,-1.2161110838254292,0.08333333333333333,0.0,0
2017-01-19,Bodega Marine Lab,38.375,236.875,11.0,-1.0299999713897705,0.17999999225139618,10.868571145193917,11.093571186065674,10.928420819734272,10.928420819734272,-1.1871428319386073,-1.0071428418159485,-1.2063157621182894,0.04666678110758463,0.0,0
2017-01-20,Bodega Marine Lab,38.375,236.875,11.4399995803833,-0.5899999737739563,0.23999999463558197,10.941428320748466,11.147142614637103,10.953999757766724,10.953999757766724,-1.1057142615318298,-0.9421428399426597,-1.1754999727010726,0.206666628519694,0.0,0
2017-01-21,Bodega Marine Lab,38.375,236.875,11.380000114440918,-0.6499999761581421,0.23999999463558197,11.044285501752581,11.187142644609724,10.974285489036923,10.974285489036923,-0.9957142642566136,-0.8921428365366799,-1.1504761633418856,0.11666679382324219,0.0,0
2017-01-22,Bodega Marine Lab,38.375,236.875,11.579999923706055,-0.4399999976158142,0.28999999165534973,11.158571243286133,11.21999979019165,11.001817963340066,11.001817963340066,-0.8757142680031913,-0.8492856962340218,-1.1181817921725186,0.19333330790201822,0.0,0
2017-01-23,Bodega Marine Lab,38.375,236.875,11.329999923706055,-0.6899999976158142,0.25999999046325684,11.225714138575963,11.202856949397496,11.016086744225543,11.016086744225543,-0.8042857050895691,-0.8578571251460484,-1.0995651924091836,-0.036666552225748696,0.0,0
2017-01-24,Bodega Marine Lab,38.375,236.875,10.989999771118164,-1.0199999809265137,0.17999999225139618,11.249999863760811,11.130714075905937,11.014999787012735,11.014999787012735,-0.7757142697061811,-0.921428552695683,-1.0962499752640724,-0.13000011444091797,0.0,0
2017-01-25,Bodega Marine Lab,38.375,236.875,10.729999542236328,-1.2799999713897705,0.17000000178813934,11.20714269365583,11.07357120513916,11.00359977722168,11.00359977722168,-0.8142856955528259,-0.9707142668110984,-1.1035999751091004,-0.2833334604899089,0.0,0
2017-01-26,Bodega Marine Lab,38.375,236.875,10.819999694824219,-1.1799999475479126,0.17000000178813934,11.181428364345006,11.024999754769462,10.996538235591007,10.996538235591007,-0.8357142635754177,-1.0114285477570124,-1.1065384355875163,-0.1700000762939453,0.0,0
2017-01-27,Bodega Marine Lab,38.375,236.875,10.510000228881836,-1.4900000095367432,0.17999999225139618,11.04857131413051,10.994999817439489,10.978518309416595,10.978518309416595,-0.9642856972558158,-1.0349999793938227,-1.1207407161041543,-0.15999984741210938,0.0,0
2017-01-28,Bodega Marine Lab,38.375,236.875,10.889999389648438,-1.1100000143051147,0.17999999225139618,10.978571210588727,11.011428356170654,10.975356919424874,10.975356919424874,-1.029999988419669,-1.0128571263381414,-1.1203571196113313,0.053333282470703125,0.0,0
2017-01-29,Bodega Marine Lab,38.375,236.875,11.309999465942383,-0.6699999570846558,0.20999999344348907,10.93999971662249,11.04928547995431,10.986896317580651,10.986896317580651,-1.0628571254866463,-0.9692856967449188,-1.1048275622828254,0.16333325703938803,0.0,0
2017-01-30,Bodega Marine Lab,38.375,236.875,10.5,-1.4800000190734863,0.22999998927116394,10.821428298950195,11.02357121876308,10.970666440327962,10.970666440327962,-1.175714271409171,-0.9899999882493701,-1.117333310842514,-0.003333409627278646,0.0,0
2017-01-31,Bodega Marine Lab,38.375,236.875,11.0,-0.9699999690055847,0.28999999165534973,10.822856903076172,11.036428383418492,10.996666463216146,10.97161268418835,-1.168571412563324,-0.9721428411347526,-1.081666644414266,0.0366668701171875,0.0,0
2017-02-01,Bodega Marine Lab,38.375,236.875,11.34999942779541,-0.6299999952316284,0.29999998211860657,10.911428315298897,11.059285504477364,11.03166643778483,10.983437269926071,-1.0757142731121607,-0.9449999843324933,-1.037999979654948,0.013333320617675781,0.0,0
2017-02-02,Bodega Marine Lab,38.375,236.875,11.559999465942383,-0.4099999964237213,0.29999998211860657,11.017142568315778,11.099285466330391,11.066666412353516,11.000908851623535,-0.9657142800944192,-0.9007142718349185,-0.9943333158890406,0.3533331553141276,0.0,0
2017-02-03,Bodega Marine Lab,38.375,236.875,11.979999542236328,0.019999999552965164,0.28999999165534973,11.227142470223564,11.137856892177037,11.109333070119222,11.029705636641559,-0.7499999930816037,-0.8571428451687098,-0.9429999832063913,0.32666651407877606,0.019999999552965164,1
2017-02-04,Bodega Marine Lab,38.375,236.875,12.25999927520752,0.29999998211860657,0.29999998211860657,11.422856739589147,11.200713975088936,11.164666398366291,11.064856883457729,-0.5485714221639293,-0.7892857052917991,-0.8796666536480189,0.3033332824707031,0.31999998167157173,1
2017-02-05,Bodega Marine Lab,38.375,236.875,12.329999923706055,0.3799999952316284,0.29999998211860657,11.568571090698242,11.254285403660365,11.219333076477051,11.09999974568685,-0.39857142897588865,-0.7307142772312675,-0.8169999871402979,0.2566668192545573,0.6999999769032001,1
