location_code,latitude,longitude,sampleid,time,da_volume_filtered,pda,tda,sample_date,week_start,year,month
HUM,40.77833,-124.1967,CHF_023,2021-07-08 21:45:00+00:00,284.5,0.00560673,0.0,2021-07-08,2021-07-05,2021,7
HUM,40.77833,-124.1967,CHF_024,2021-07-22 21:30:00+00:00,284.5,0.00294392,0.0,2021-07-22,2021-07-19,2021,7
HUM,40.77833,-124.1967,CHF_025,2021-08-09 20:30:00+00:00,284.5,,,2021-08-09,2021-08-09,2021,8
HUM,40.77833,-124.1967,CHF_026,2021-08-23 21:30:00+00:00,284.5,,,2021-08-23,2021-08-23,2021,8
HUM,40.77833,-124.1967,CHF_027,2021-09-07 21:15:00+00:00,284.5,,,2021-09-07,2021-09-06,2021,9
HUM,40.77833,-124.1967,CHF_028,2021-09-27 22:30:00+00:00,284.5,,,2021-09-27,2021-09-27,2021,9
HUM,40.77833,-124.1967,CHF_029,2021-10-12 17:30:00+00:00,284.5,,,2021-10-12,2021-10-11,2021,10
HUM,40.77833,-124.1967,CHF_030,2021-10-28 22:25:00+00:00,284.5,,,2021-10-28,2021-10-25,2021,10
HUM,40.77833,-124.1967,CHF_031,2021-11-10 18:30:00+00:00,284.5,,,2021-11-10,2021-11-08,2021,11
HUM,40.77833,-124.1967,CHF_032,2021-12-02 18:15:00+00:00,284.5,,,2021-12-02,2021-11-29,2021,12
HUM,40.77833,-124.1967,CHF_033,2021-12-22 23:05:00+00:00,284.5,,,2021-12-22,2021-12-20,2021,12
HUM,40.77833,-124.1967,CHF_034,2022-01-18 18:20:00+00:00,284.5,0.0,0.0,2022-01-18,2022-01-17,2022,1
HUM,40.77833,-124.1967,CHF_035,2022-01-25 18:35:00+00:00,284.5,0.0,0.0,2022-01-25,2022-01-24,2022,1
HUM,40.77833,-124.1967,CHF_036,2022-02-08 18:55:00+00:00,284.5,0.0,0.0,2022-02-08,2022-02-07,2022,2
HUM,40.77833,-124.1967,CHF_037,2022-02-23 17:40:00+00:00,284.5,0.0,0.0,2022-02-23,2022-02-21,2022,2
HUM,40.77833,-124.1967,CHF_038,2022-03-25 17:00:00+00:00,284.5,0.0,0.0,2022-03-25,2022-03-21,2022,3
HUM,40.77833,-124.1967,CHF_039,2022-04-08 21:35:00+00:00,284.5,0.0165,0.0,2022-04-08,2022-04-04,2022,4
HUM,40.77833,-124.1967,CHF_040,2022-05-03 22:40:00+00:00,284.5,0.0,0.0,2022-05-03,2022-05-02,2022,5
HUM,40.77833,-124.1967,CHF_041,2022-05-20 21:40:00+00:00,284.5,0.0,0.0,2022-05-20,2022-05-16,2022,5
HUM,40.77833,-124.1967,CHF_042,2022-06-13 22:35:00+00:00,284.5,0.0,0.0,2022-06-13,2022-06-13,2022,6
HUM,40.77833,-124.1967,CHF_043,2022-06-28 16:30:00+00:00,284.5,0.0,0.0,2022-06-28,2022-06-27,2022,6
HUM,40.77833,-124.1967,CHF_044,2022-07-12 17:00:00+00:00,284.5,0.0,0.0,2022-07-12,2022-07-11,2022,7
HUM,40.77833,-124.1967,CHF_045,2022-07-28 18:10:00+00:00,284.5,0.0,0.0,2022-07-28,2022-07-25,2022,7
HUM,40.77833,-124.1967,CHF_046,2022-08-11 18:15:00+00:00,284.5,0.0,0.0,2022-08-11,2022-08-08,2022,8
HUM,40.77833,-124.1967,CHF_047,2022-08-25 20:25:00+00:00,284.5,0.0,0.0,2022-08-25,2022-08-22,2022,8
HUM,40.77833,-124.1967,CHF_048,2022-09-12 21:25:00+00:00,284.5,0.0048,0.0,2022-09-12,2022-09-12,2022,9
HUM,40.77833,-124.1967,CHF_049,2022-09-27 17:10:00+00:00,284.5,0.1039,0.0,2022-09-27,2022-09-26,2022,9
HUM,40.77833,-124.1967,CHF_050,2022-10-14 21:45:00+00:00,284.5,0.1686,0.0,2022-10-14,2022-10-10,2022,10
HUM,40.77833,-124.1967,CHF_051,2022-10-28 20:30:00+00:00,284.5,2.0182,1.9172,2022-10-28,2022-10-24,2022,10
HUM,40.77833,-124.1967,CHF_052,2022-11-16 20:25:00+00:00,284.5,0.0398,0.0398,2022-11-16,2022-11-14,2022,11
HUM,40.77833,-124.1967,CHF_053,2022-11-30 17:15:00+00:00,284.5,0.0,0.0,2022-11-30,2022-11-28,2022,11
HUM,40.77833,-124.1967,CHF_054,2022-12-13 22:15:00+00:00,284.5,0.0,0.0,2022-12-13,2022-12-12,2022,12
HUM,40.77833,-124.1967,CHF_055,2023-01-20 16:50:00+00:00,284.5,0.1371,0.1371,2023-01-20,2023-01-16,2023,1
HUM,40.77833,-124.1967,CHF_056,2023-02-03 18:10:00+00:00,284.5,0.0539,0.0539,2023-02-03,2023-01-30,2023,2
