week_start,station,sample_date,latitude,longitude,month,year,pda,temp,silicate,nitrate,avg_chloro,potential_bloom,sst_roll_14d,anom_roll_14d,sst_roc_3d,warm_degree_days_14d,above_avg,temp_lag1,temp_lag2,silicate_lag1,silicate_lag2,nitrate_lag1,nitrate_lag2,avg_chloro_lag1,avg_chloro_lag2,silicate_nitrate_ratio,isHarmful,station_id,wind_speed_mps,wave_height_m,dominant_period_s,mean_wave_dir_deg,atm_pressure_hpa,air_temp_c,sea_surface_temp_c
2026-01-19,Newport Beach Pier,2026-01-20 18:00:00,33.6061,-117.9311,1,2026,0.0,15.5,,,1.6,0,16.589285441807338,1.8328570893832616,-0.073333740234375,0.0,0.0,16.0,16.0,,,,,1.4,0.8,,0,46025,,,,,,,
2026-01-19,Santa Cruz Wharf,2026-01-21 16:30:00,36.958,-122.017,1,2026,0.044253,13.9,,,1.96,0,14.249285357339042,1.6992856860160828,-0.036666552225748696,0.0,0.0,13.8,13.9,,,,,1.08,0.87,,0,46042,,,,,,,
2026-01-19,Santa Monica Pier,2026-01-19 21:00:00,34.008,-118.499,1,2026,0.0,17.0,,,,0,,,,,0.0,17.0,17.2,,,,1.77,0.84,0.83,,0,46025,,,,,,,
2026-01-19,Scripps Pier,2026-01-19 20:00:00,32.867,-117.257,1,2026,0.0,16.7,,,0.64,0,16.80642822810582,1.7507142509732927,-0.07666714986165364,0.0,0.0,16.9,17.2,,2.5,,0.45,1.58,2.13,,0,46086,,,,,,,
2026-01-19,Stearns Wharf,2026-01-19 16:21:00,34.408043,-119.68485,1,2026,0.0,15.9,,,,0,16.016428061894008,1.8721428172928947,-0.013333320617675781,0.0,0.0,15.5,15.8,,14.933,,2.283,,,,0,46053,,,,,,,
2026-01-26,Bodega Marine Lab,2026-01-28 19:28:00,38.31613,-123.0705,1,2026,,13.3,,,,,12.866428170885358,0.8628571288926261,0.003333409627278646,0.0,0.0,13.2,15.0,,,,,,,,,46013,,,,,,,
2026-01-26,Bodega Marine Lab Buoy,2026-01-28 19:08:00,38.3126,-123.0825,1,2026,,,,,,,12.866428170885358,0.8628571288926261,0.003333409627278646,0.0,0.0,,,,,,,,,,,46013,,,,,,,
2026-01-26,Cal Poly Pier,2026-02-01 18:03:00,35.170204,-120.740685,1,2026,0.0,14.5,,,2.05,0,14.869285447256905,1.4049999713897705,0.1333332061767578,0.0,0.0,14.25,13.1,,,,,2.835,0.36,,0,46011,,,,,,,
2026-01-26,Monterey Wharf,2026-01-27 16:19:00,36.603683,-121.889275,1,2026,,13.8,,,,,14.227142470223564,1.6164285370281763,0.07000001271565755,0.0,0.0,13.8,13.5,,,,,,,,,46042,,,,,,,
2026-01-26,Newport Beach Pier,2026-01-27 18:00:00,33.6061,-117.9311,1,2026,0.0,15.0,,,4.63,0,16.504285539899552,1.7821428179740906,0.03333282470703125,0.0,0.0,15.5,16.0,,,,,1.6,1.4,,0,46025,,,,,,,
2026-01-26,Santa Cruz Wharf,2026-01-28 16:30:00,36.958,-122.017,1,2026,0.174212,14.0,,,1.44,1,14.109285422733851,1.599285670689174,0.07666651407877605,0.0,0.0,13.9,13.8,,,,,1.96,1.08,,1,46042,,,,,,,
2026-01-26,Santa Monica Pier,2026-01-26 22:00:00,34.008,-118.499,1,2026,0.0,17.0,,,,0,,,,,0.0,17.0,17.0,,,,,,0.84,,0,46025,,,,,,,
2026-01-26,Scripps Pier,2026-01-26 20:24:00,32.867,-117.257,1,2026,0.0,16.7,,,0.73,0,16.879999705723353,1.8607142397335596,0.053333282470703125,0.0,0.0,16.7,16.9,,,,,0.64,1.58,,0,46086,,,,,,,
2026-01-26,Stearns Wharf,2026-01-26 15:53:00,34.408043,-119.68485,1,2026,0.0,15.3,,,,0,16.01785680225917,1.9278571009635925,0.05999978383382162,0.0,0.0,15.9,15.5,,,,,,,,0,46053,,,,,,,
2026-02-02,Bodega Marine Lab,2026-02-02 23:15:00,38.31613,-123.0705,2,2026,,13.9,,,,,13.037856715066093,1.065714261361531,-0.026666641235351562,0.881554889678954,1.0,13.3,13.2,,,,,,,,,46013,,,,,,,
2026-02-02,Cal Poly Pier,2026-02-08 17:56:00,35.170204,-120.740685,2,2026,0.0,15.1,,,1.64,0,15.035713876996722,1.6185713921274458,0.07999992370605469,0.0,0.0,14.5,14.25,,,,,2.05,2.835,,0,46011,,,,,,,
2026-02-02,Monterey Wharf,2026-02-03 16:20:00,36.603683,-121.889275,2,2026,,13.8,,,,,14.356428146362305,1.7835713965552193,0.03333346048990885,0.17077833811441856,1.0,13.8,13.8,,,,,,,,,46042,,,,,,,
