Location_Code,latitude,longitude,depth,SampleID,time,Temp,Air_Temp,Salinity,Chl_Volume_Filtered,Chl1,Chl2,Avg_Chloro,Phaeo1,Phaeo2,Avg_Phaeo,Phosphate,Silicate,Nitrite,Nitrite_Nitrate,Ammonium,Nitrate,DA_Volume_Filtered,pDA,tDA,dDA,Volume_Settled_for_Counting,Akashiwo_sanguinea,Alexandrium_spp,Dinophysis_spp,Lingulodinium_polyedra,Prorocentrum_spp,Pseudo_nitzschia_delicatissima_group,Pseudo_nitzschia_seriata_group,Ceratium_spp,Cochlodinium_spp,Gymnodinium_spp,Other_Diatoms,Other_Dinoflagellates,Total_Phytoplankton
,degrees_north,degrees_east,m,,UTC,degree_C,degree_C,,mL,mg/m3,mg/m3,mg/m3,mg/m3,mg/m3,mg/m3,uM,uM,uM,uM,uM,uM,mL,ng/mL,ng/mL,ng/mL,mL,cells/L,cells/L,cells/L,cells/L,cells/L,cells/L,cells/L,cells/L,cells/L,cells/L,cells/L,cells/L,cells/L
BBB,38.3126,-123.0825,NaN,BML Buoy,2021-08-19T18:00:00Z,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.0,18.0,13.0,0.0,7.0,11.0,5.0,78.0,0.0,5.0,127.0,102.0,370.0
BBB,38.3126,-123.0825,NaN,BML Buoy,2021-09-17T18:05:00Z,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,10.0,22.0,7.0,0.0,632.0,12.0,16.0,211.0,0.0,33.0,145.0,99.0,1186.0
BBB,38.3126,-123.0825,NaN,BML Buoy,2021-10-15T18:16:00Z,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.0,9.0,4.0,0.0,13.0,7.0,164.0,98.0,0.0,9.0,1004.0,28.0,1341.0
BBB,38.3126,-123.0825,NaN,BML Buoy,2021-11-10T19:26:00Z,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.0,9.0,13.0,0.0,76.0,9.0,11.0,70.0,0.0,8.0,434.0,37.0,670.0
BBB,38.3126,-123.0825,NaN,BML Buoy,2021-12-28T18:20:00Z,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,0.0,0.0,0.0,4.0,0.0,1.0,1.0,0.0,0.0,60.0,8.0,74.0
BBB,38.3126,-123.0825,NaN,BML Buoy,2022-02-24T19:57:00Z,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,0.0,0.0,0.0,0.0,6.0,9.0,0.0,0.0,2.0,2301.0,22.0,2340.0
BBB,38.3126,-123.0825,NaN,BML Buoy,2022-03-11T19:45:00Z,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,0.0,1.0,0.0,1.0,42.0,113.0,0.0,0.0,0.0,12089.0,23.0,12268.0
BBB,38.3126,-123.0825,NaN,BML Buoy,2022-05-25T19:40:00Z,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,0.0,0.0,0.0,0.0,15.0,2.0,1.0,0.0,0.0,4237.0,9.0,4263.0
BBB,38.3126,-123.0825,NaN,BML Buoy,2022-07-26T18:32:00Z,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,0.0,2.0,1.0,0.0,168.0,132.0,0.0,0.0,4.0,8592.0,287.0,9188.0
BBB,38.3126,-123.0825,NaN,BML Buoy,2022-08-30T21:59:00Z,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,6.0,24.0,0.0,37.0,10.0,2.0,4.0,0.0,4.0,46.0,84.0,217.0
BBB,38.3126,-123.0825,NaN,BML Buoy,2022-09-23T18:40:00Z,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.0,0.0,51.0,0.0,17.0,49.0,7.0,37.0,0.0,7.0,2121.0,118.0,2408.0
BBB,38.3126,-123.0825,NaN,BML Buoy,2022-10-31T22:39:00Z,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,3.0,1.0,0.0,2.0,5.0,7.0,4.0,0.0,0.0,230.0,10.0,261.0
BBB,38.3126,-123.0825,NaN,BML Buoy,2022-11-16T19:53:00Z,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,20.0,9.0,1.0,4.0,5.0,11.0,34.0,0.0,1.0,337.0,75.0,496.0
BBB,38.3126,-123.0825,NaN,BML Buoy,2022-12-20T17:35:00Z,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.0,10.0,8.0,0.0,902.0,6.0,24.0,418.0,0.0,0.0,455.0,67.0,1892.0
BBB,38.3126,-123.0825,NaN,BML Buoy,2023-01-25T21:14:00Z,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,0.0,0.0,0.0,23.0,1.0,1.0,1.0,0.0,0.0,87.0,3.0,117.0
BBB,38.3126,-123.0825,NaN,BML Buoy,2023-02-25T19:55:00Z,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,0.0,1.0,0.0,3.0,0.0,3.0,0.0,0.0,0.0,2778.0,28.0,2813.0
BBB,38.3126,-123.0825,NaN,BML Buoy,2023-03-31T18:05:00Z,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,0.0,0.0,0.0,0.0,0.0,21.0,2.0,0.0,0.0,1396.0,49.0,1469.0
BBB,38.3126,-123.0825,NaN,BML Buoy,2023-04-27T18:20:00Z,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,0.0,0.0,0.0,0.0,0.0,144.0,0.0,0.0,0.0,5084.0,96.0,5325.0
BBB,38.3126,-123.0825,NaN,BML Buoy,2023-05-26T20:31:00Z,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,0.0,0.0,0.0,0.0,0.0,417.0,0.0,0.0,0.0,14688.0,278.0,15382.0
BBB,38.3126,-123.0825,NaN,BML Buoy,2023-06-06T21:09:00Z,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,0.0,0.0,0.0,0.0,0.0,465.0,0.0,0.0,0.0,42058.0,54.0,42576.0
BBB,38.3126,-123.0825,NaN,BML Buoy,2023-08-01T17:25:00Z,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,15.0,0.0,0.0,0.0,1900.0,2064.0,0.0,0.0,0.0,18503.0,90.0,22571.0
BBB,38.3126,-123.0825,NaN,BML Buoy,2023-08-17T19:21:00Z,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,23.0,4.0,116.0,0.0,50.0,0.0,0.0,27.0,0.0,0.0,728.0,205.0,1154.0
