split,threshold,accuracy,precision,recall,f1,roc_auc,tn,fp,fn,tp
Train,0.05,0.7159187129551228,0.14303959131545338,1.0,0.25027932960893856,0.9999265873015872,1579,671,0,112
Validation,0.05,0.44751381215469616,0.08256880733944955,1.0,0.15254237288135594,0.6414728682170543,72,100,0,9
Test,0.05,0.7738317757009345,0.36416184971098264,0.8513513513513513,0.5101214574898786,0.8543120126634227,351,110,11,63
