split,threshold,accuracy,precision,recall,f1,roc_auc,tn,fp,fn,tp
Train,0.29000000000000004,0.81922099915326,0.2077922077922078,1.0,0.34408602150537637,0.9961051587301587,1823,427,0,112
Validation,0.29000000000000004,0.6519337016574586,0.10294117647058823,0.7777777777777778,0.18181818181818182,0.7299741602067183,111,61,2,7
Test,0.29000000000000004,0.8485981308411215,0.46788990825688076,0.6891891891891891,0.5573770491803278,0.8710793222723809,403,58,23,51
